Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
CUST0293,PROD0031,Category 8,12.85,2020-07-23
CUST0367,PROD0039,Category 1,142.35,2021-10-22
CUST0317,PROD0032,Category 2,119.64,2021-06-18
CUST0081,PROD0007,Category 5,85.22,2024-06-20
CUST0471,PROD0047,Category 6,133.76,2022-01-28
CUST0238,PROD0024,Category 5,36.87,2020-03-29
CUST0081,PROD0031,Category 8,31.26,2024-10-24
CUST0384,PROD0011,Category 2,59.53,2021-06-30
CUST0142,PROD0013,Category 6,81.43,2020-05-24
CUST0258,PROD0020,Category 8,15.91,2022-08-29
CUST0327,PROD0033,Category 2,176.77,2023-09-15
CUST0277,PROD0048,Category 4,112.54,2024-07-07
CUST0450,PROD0010,Category 6,175.08,2022-09-23
CUST0400,PROD0001,Category 6,139.01,2023-09-30
CUST0049,PROD0010,Category 6,76.36,2021-01-24
CUST0348,PROD0030,Category 7,64.24,2022-05-14
CUST0391,PROD0009,Category 3,16.89,2024-11-17
CUST0007,PROD0029,Category 2,108.53,2023-05-04
CUST0259,PROD0027,Category 10,15.71,2024-08-20
CUST0010,PROD0018,Category 2,68.83,2022-03-28
CUST0334,PROD0013,Category 6,46.09,2020-05-31
CUST0105,PROD0015,Category 9,32.65,2024-06-23
CUST0403,PROD0010,Category 6,44.37,2024-11-24
CUST0355,PROD0044,Category 5,61.9,2021-05-07
CUST0007,PROD0028,Category 5,71.04,2021-05-13
CUST0432,PROD0035,Category 2,126.8,2023-11-01
CUST0078,PROD0023,Category 2,64.03,2023-09-27
CUST0325,PROD0014,Category 4,161.16,2020-11-04
CUST0129,PROD0014,Category 4,118.87,2023-10-27
CUST0045,PROD0043,Category 9,109.01,2020-08-03
CUST0049,PROD0022,Category 8,30.23,2020-06-01
CUST0273,PROD0049,Category 2,144.06,2024-10-14
CUST0209,PROD0042,Category 10,173.99,2020-01-20
CUST0411,PROD0041,Category 7,27.99,2021-05-16
CUST0160,PROD0007,Category 5,39.81,2021-01-19
CUST0314,PROD0032,Category 2,125.49,2022-03-14
CUST0234,PROD0024,Category 5,19.36,2022-12-19
CUST0155,PROD0009,Category 3,49.66,2023-11-28
CUST0496,PROD0018,Category 2,97.82,2024-10-12
CUST0427,PROD0033,Category 2,176.79,2023-03-15
CUST0254,PROD0037,Category 5,54.26,2022-10-05
CUST0219,PROD0026,Category 3,64.5,2023-05-26
CUST0022,PROD0040,Category 3,64.29,2021-09-03
CUST0392,PROD0046,Category 3,132.68,2025-01-06
CUST0357,PROD0048,Category 4,89.92,2024-09-20
CUST0197,PROD0040,Category 3,181.06,2023-05-29
CUST0122,PROD0031,Category 8,11.38,2023-04-06
CUST0221,PROD0041,Category 7,51.82,2023-03-13
CUST0101,PROD0036,Category 1,193.84,2024-09-16
CUST0195,PROD0046,Category 3,15.55,2023-06-10
CUST0243,PROD0023,Category 2,194.17,2024-10-19
CUST0166,PROD0024,Category 5,145.37,2024-10-22
CUST0051,PROD0009,Category 3,38.9,2021-01-29
CUST0471,PROD0043,Category 9,61.61,2023-01-18
CUST0157,PROD0044,Category 5,180.64,2020-04-28
CUST0354,PROD0030,Category 7,102.34,2023-06-17
CUST0044,PROD0007,Category 5,151.54,2021-12-02
CUST0100,PROD0009,Category 3,142.38,2020-07-02
CUST0328,PROD0050,Category 10,116.51,2024-12-20
CUST0411,PROD0001,Category 6,131.22,2022-03-02
CUST0408,PROD0003,Category 4,121.62,2022-01-11
CUST0447,PROD0041,Category 7,79.49,2023-02-07
CUST0084,PROD0026,Category 3,91.01,2022-09-06
CUST0342,PROD0034,Category 6,79.12,2020-10-12
CUST0394,PROD0033,Category 2,160.15,2024-06-22
CUST0295,PROD0035,Category 2,65.44,2022-04-11
CUST0396,PROD0013,Category 6,122.38,2022-07-28
CUST0076,PROD0041,Category 7,137.28,2021-02-27
CUST0199,PROD0019,Category 4,29.82,2024-05-13
CUST0237,PROD0026,Category 3,185.37,2021-07-29
CUST0056,PROD0048,Category 4,29.05,2020-09-20
CUST0497,PROD0037,Category 5,162.74,2022-03-31
CUST0107,PROD0033,Category 2,76.14,2020-02-18
CUST0418,PROD0006,Category 3,60.86,2023-07-13
CUST0332,PROD0025,Category 1,68.26,2023-09-14
CUST0227,PROD0013,Category 6,197.19,2020-10-05
CUST0133,PROD0008,Category 10,124.27,2021-08-13
CUST0204,PROD0009,Category 3,151.86,2023-03-28
CUST0239,PROD0024,Category 5,51.52,2022-01-04
CUST0278,PROD0035,Category 2,67.05,2023-10-16
CUST0406,PROD0026,Category 3,110.37,2023-06-30
CUST0266,PROD0047,Category 6,28.55,2024-03-21
CUST0299,PROD0011,Category 2,84.68,2022-01-06
CUST0188,PROD0035,Category 2,177.41,2021-06-16
CUST0500,PROD0035,Category 2,99.49,2025-01-10
CUST0170,PROD0003,Category 4,106.71,2022-01-18
CUST0499,PROD0037,Category 5,97.55,2024-11-01
CUST0177,PROD0018,Category 2,11.81,2021-08-07
CUST0277,PROD0025,Category 1,93.48,2020-10-23
CUST0177,PROD0010,Category 6,98.94,2022-07-20
CUST0397,PROD0050,Category 10,54.7,2024-05-27
CUST0131,PROD0036,Category 1,173.89,2022-09-18
CUST0060,PROD0018,Category 2,177.99,2021-07-18
CUST0447,PROD0027,Category 10,104.25,2021-09-28
CUST0251,PROD0018,Category 2,33.12,2020-06-13
CUST0274,PROD0027,Category 10,132.82,2021-11-29
CUST0388,PROD0014,Category 4,126.74,2021-11-06
CUST0323,PROD0026,Category 3,92.19,2020-06-20
CUST0350,PROD0008,Category 10,13.76,2020-09-13
CUST0401,PROD0027,Category 10,90.2,2020-03-20
CUST0156,PROD0010,Category 6,187.42,2020-11-13
CUST0096,PROD0040,Category 3,95.05,2024-01-25
CUST0201,PROD0031,Category 8,102.95,2020-04-17
CUST0355,PROD0049,Category 2,130.05,2021-02-22
CUST0121,PROD0043,Category 9,150.45,2024-11-26
CUST0329,PROD0017,Category 7,155.57,2024-01-29
CUST0479,PROD0013,Category 6,169.31,2022-07-29
CUST0145,PROD0026,Category 3,150.53,2020-06-11
CUST0135,PROD0044,Category 5,80.81,2023-05-22
CUST0070,PROD0016,Category 6,22.5,2023-06-13
CUST0402,PROD0036,Category 1,170.36,2022-05-08
CUST0450,PROD0031,Category 8,51.65,2022-01-28
CUST0185,PROD0018,Category 2,153.21,2021-01-10
CUST0430,PROD0034,Category 6,11.2,2020-08-10
CUST0204,PROD0043,Category 9,197.32,2022-08-12
CUST0269,PROD0033,Category 2,29.38,2022-06-28
CUST0319,PROD0014,Category 4,28.38,2023-07-05
CUST0495,PROD0023,Category 2,62.57,2020-12-14
CUST0467,PROD0043,Category 9,74.09,2024-04-15
CUST0417,PROD0022,Category 8,87.13,2020-12-10
CUST0008,PROD0024,Category 5,121.06,2023-01-02
CUST0338,PROD0019,Category 4,61.04,2023-06-01
CUST0252,PROD0050,Category 10,106.04,2023-01-05
CUST0431,PROD0019,Category 4,154.52,2020-12-20
CUST0044,PROD0037,Category 5,176.23,2023-06-11
CUST0173,PROD0030,Category 7,99.94,2023-12-21
CUST0491,PROD0002,Category 1,147.23,2020-02-11
CUST0358,PROD0027,Category 10,116.57,2021-08-01
CUST0135,PROD0012,Category 4,74.34,2022-07-07
CUST0438,PROD0043,Category 9,69.49,2021-06-09
CUST0451,PROD0030,Category 7,100.38,2024-04-12
CUST0237,PROD0023,Category 2,135.76,2021-04-30
CUST0260,PROD0046,Category 3,143.97,2021-06-17
CUST0073,PROD0020,Category 8,187.04,2023-07-21
CUST0493,PROD0017,Category 7,149.08,2023-04-25
CUST0216,PROD0040,Category 3,69.97,2024-10-30
CUST0398,PROD0048,Category 4,42.83,2021-08-17
CUST0328,PROD0011,Category 2,132.45,2024-04-01
CUST0234,PROD0035,Category 2,37.04,2020-06-07
CUST0295,PROD0006,Category 3,112.91,2020-12-08
CUST0449,PROD0036,Category 1,19.21,2021-12-17
CUST0489,PROD0004,Category 1,181.31,2021-03-08
CUST0267,PROD0024,Category 5,55.65,2022-12-06
CUST0346,PROD0034,Category 6,127.19,2021-03-26
CUST0354,PROD0004,Category 1,62.15,2023-07-12
CUST0402,PROD0031,Category 8,63.39,2020-06-03
CUST0430,PROD0025,Category 1,27.75,2023-04-18
CUST0373,PROD0031,Category 8,108.21,2022-08-06
CUST0116,PROD0014,Category 4,116.93,2021-09-08
CUST0068,PROD0008,Category 10,125.4,2020-03-18
CUST0292,PROD0011,Category 2,163.89,2022-12-15
CUST0055,PROD0006,Category 3,116.5,2020-10-09
CUST0490,PROD0034,Category 6,62.46,2020-09-19
CUST0420,PROD0022,Category 8,71.27,2020-05-11
CUST0358,PROD0042,Category 10,173.97,2022-01-20
CUST0351,PROD0043,Category 9,143.41,2021-11-23
CUST0030,PROD0040,Category 3,16.29,2022-10-07
CUST0429,PROD0019,Category 4,58.76,2024-04-13
CUST0043,PROD0030,Category 7,50.52,2020-11-26
CUST0246,PROD0043,Category 9,126.81,2021-05-05
CUST0056,PROD0016,Category 6,168.67,2022-08-25
CUST0162,PROD0033,Category 2,126.0,2020-06-19
CUST0455,PROD0047,Category 6,102.34,2020-10-15
CUST0223,PROD0048,Category 4,112.39,2022-01-27
CUST0096,PROD0043,Category 9,32.74,2020-12-12
CUST0455,PROD0011,Category 2,116.07,2021-04-26
CUST0077,PROD0004,Category 1,15.08,2021-02-22
CUST0375,PROD0030,Category 7,102.57,2022-12-24
CUST0377,PROD0042,Category 10,175.88,2021-01-28
CUST0064,PROD0015,Category 9,166.1,2022-12-24
CUST0149,PROD0018,Category 2,30.18,2023-01-06
CUST0449,PROD0018,Category 2,67.32,2023-03-27
CUST0276,PROD0047,Category 6,120.47,2021-06-01
CUST0490,PROD0013,Category 6,65.07,2022-04-09
CUST0374,PROD0041,Category 7,111.61,2023-09-02
CUST0426,PROD0017,Category 7,97.67,2024-07-09
CUST0206,PROD0038,Category 6,70.9,2021-04-04
CUST0343,PROD0013,Category 6,126.13,2024-10-07
CUST0130,PROD0022,Category 8,80.29,2023-03-29
CUST0357,PROD0045,Category 5,129.52,2020-11-27
CUST0333,PROD0038,Category 6,17.64,2023-04-16
CUST0336,PROD0044,Category 5,142.21,2020-04-27
CUST0344,PROD0006,Category 3,122.89,2023-12-25
CUST0196,PROD0026,Category 3,188.63,2021-08-17
CUST0415,PROD0036,Category 1,98.04,2022-01-30
CUST0469,PROD0004,Category 1,129.37,2024-02-02
CUST0122,PROD0014,Category 4,130.65,2021-09-02
CUST0363,PROD0030,Category 7,189.75,2023-03-25
CUST0300,PROD0046,Category 3,12.0,2024-03-06
CUST0096,PROD0008,Category 10,73.84,2024-11-30
CUST0327,PROD0024,Category 5,35.06,2024-04-02
CUST0047,PROD0013,Category 6,165.88,2021-02-27
CUST0417,PROD0009,Category 3,75.53,2024-07-02
CUST0296,PROD0042,Category 10,147.93,2022-02-07
CUST0048,PROD0001,Category 6,165.99,2021-12-16
CUST0499,PROD0003,Category 4,63.17,2024-01-25
CUST0396,PROD0035,Category 2,26.27,2024-02-21
CUST0324,PROD0015,Category 9,133.11,2021-08-27
CUST0115,PROD0039,Category 1,91.69,2022-12-03
CUST0459,PROD0028,Category 5,116.04,2022-02-13
CUST0173,PROD0029,Category 2,132.08,2021-01-03
CUST0316,PROD0026,Category 3,167.35,2023-12-17
CUST0031,PROD0019,Category 4,65.65,2022-04-10
CUST0103,PROD0020,Category 8,63.25,2020-06-29
CUST0490,PROD0041,Category 7,117.38,2022-08-17
CUST0101,PROD0026,Category 3,43.0,2021-03-15
CUST0093,PROD0047,Category 6,15.51,2020-02-04
CUST0148,PROD0043,Category 9,163.7,2023-05-24
CUST0356,PROD0015,Category 9,16.74,2022-07-18
CUST0469,PROD0023,Category 2,151.94,2020-06-19
CUST0324,PROD0018,Category 2,52.79,2022-02-06
CUST0061,PROD0033,Category 2,158.7,2022-11-02
CUST0282,PROD0048,Category 4,35.58,2021-11-02
CUST0457,PROD0033,Category 2,80.66,2024-06-01
CUST0495,PROD0035,Category 2,190.04,2022-06-11
CUST0070,PROD0042,Category 10,178.42,2020-04-11
CUST0365,PROD0033,Category 2,66.32,2020-01-13
CUST0488,PROD0004,Category 1,93.55,2024-07-08
CUST0344,PROD0026,Category 3,135.0,2021-09-16
CUST0416,PROD0022,Category 8,116.81,2020-04-13
CUST0273,PROD0023,Category 2,19.26,2024-10-08
CUST0061,PROD0013,Category 6,141.58,2021-07-04
CUST0270,PROD0031,Category 8,79.9,2021-10-27
CUST0214,PROD0008,Category 10,91.03,2021-02-17
CUST0427,PROD0020,Category 8,37.36,2020-07-10
CUST0180,PROD0012,Category 4,59.73,2023-05-05
CUST0232,PROD0039,Category 1,155.59,2020-08-23
CUST0165,PROD0045,Category 5,82.64,2023-03-15
CUST0450,PROD0019,Category 4,112.7,2023-02-13
CUST0185,PROD0039,Category 1,185.03,2024-09-28
CUST0048,PROD0039,Category 1,80.06,2023-02-19
CUST0064,PROD0035,Category 2,31.27,2024-03-23
CUST0188,PROD0020,Category 8,89.59,2024-05-27
CUST0454,PROD0045,Category 5,29.04,2020-07-25
CUST0124,PROD0002,Category 1,46.32,2021-12-10
CUST0142,PROD0022,Category 8,45.08,2024-10-26
CUST0244,PROD0044,Category 5,171.05,2020-09-22
CUST0252,PROD0017,Category 7,154.13,2023-12-17
CUST0497,PROD0050,Category 10,104.04,2022-01-18
CUST0238,PROD0014,Category 4,174.99,2023-06-17
CUST0122,PROD0048,Category 4,137.88,2024-02-08
CUST0270,PROD0018,Category 2,40.91,2020-11-19
CUST0225,PROD0013,Category 6,67.73,2024-05-07
CUST0148,PROD0035,Category 2,145.39,2023-01-02
CUST0302,PROD0015,Category 9,13.41,2020-10-09
CUST0469,PROD0050,Category 10,168.35,2020-08-04
CUST0233,PROD0020,Category 8,163.29,2024-09-25
CUST0323,PROD0006,Category 3,96.54,2024-09-24
CUST0311,PROD0006,Category 3,102.46,2021-03-11
CUST0045,PROD0015,Category 9,139.12,2021-07-29
CUST0277,PROD0020,Category 8,90.89,2022-09-14
CUST0369,PROD0013,Category 6,117.94,2023-06-05
CUST0117,PROD0021,Category 2,177.28,2022-11-09
CUST0429,PROD0020,Category 8,30.01,2024-06-07
CUST0073,PROD0029,Category 2,156.54,2021-12-19
CUST0319,PROD0041,Category 7,25.53,2023-03-25
CUST0053,PROD0048,Category 4,50.01,2021-02-19
CUST0148,PROD0005,Category 5,182.01,2023-11-14
CUST0296,PROD0034,Category 6,70.32,2022-10-15
CUST0387,PROD0015,Category 9,97.22,2021-09-04
CUST0346,PROD0037,Category 5,38.38,2023-06-09
CUST0129,PROD0047,Category 6,51.8,2024-06-24
CUST0363,PROD0017,Category 7,91.47,2024-05-12
CUST0080,PROD0030,Category 7,28.71,2024-09-18
CUST0226,PROD0039,Category 1,16.37,2024-03-03
CUST0151,PROD0047,Category 6,127.5,2020-04-28
CUST0404,PROD0034,Category 6,40.8,2024-10-30
CUST0156,PROD0032,Category 2,35.55,2024-12-03
CUST0304,PROD0041,Category 7,77.08,2023-04-16
CUST0100,PROD0005,Category 5,26.82,2020-06-02
CUST0445,PROD0006,Category 3,132.99,2020-08-12
CUST0393,PROD0010,Category 6,199.37,2024-06-03
CUST0256,PROD0021,Category 2,65.77,2022-03-29
CUST0202,PROD0018,Category 2,112.98,2020-10-10
CUST0253,PROD0004,Category 1,178.2,2023-10-21
CUST0182,PROD0003,Category 4,177.51,2021-10-19
CUST0037,PROD0030,Category 7,161.73,2020-12-01
CUST0068,PROD0008,Category 10,93.29,2022-05-19
CUST0485,PROD0008,Category 10,164.81,2022-06-07
CUST0194,PROD0038,Category 6,156.75,2023-05-20
CUST0002,PROD0034,Category 6,34.1,2021-04-23
CUST0064,PROD0025,Category 1,19.81,2024-08-18
CUST0246,PROD0010,Category 6,69.23,2022-08-15
CUST0167,PROD0007,Category 5,36.63,2022-03-06
CUST0329,PROD0045,Category 5,102.37,2021-11-06
CUST0017,PROD0030,Category 7,101.7,2022-12-19
CUST0383,PROD0036,Category 1,53.44,2020-04-28
CUST0181,PROD0044,Category 5,156.67,2021-02-16
CUST0154,PROD0011,Category 2,177.92,2024-03-01
CUST0171,PROD0038,Category 6,13.49,2021-11-03
CUST0249,PROD0028,Category 5,113.24,2021-10-10
CUST0208,PROD0017,Category 7,42.58,2024-12-14
CUST0228,PROD0020,Category 8,41.88,2021-10-05
CUST0134,PROD0015,Category 9,118.95,2020-04-05
CUST0207,PROD0048,Category 4,108.42,2020-05-25
CUST0417,PROD0022,Category 8,153.74,2020-10-01
CUST0222,PROD0028,Category 5,57.98,2024-11-30
CUST0011,PROD0009,Category 3,102.4,2020-02-11
CUST0093,PROD0043,Category 9,108.01,2021-01-31
CUST0039,PROD0011,Category 2,35.37,2023-07-27
CUST0437,PROD0025,Category 1,34.38,2022-03-03
CUST0108,PROD0033,Category 2,39.43,2020-12-03
CUST0010,PROD0033,Category 2,47.12,2020-01-10
CUST0098,PROD0015,Category 9,66.66,2024-02-25
CUST0336,PROD0032,Category 2,99.65,2024-01-25
CUST0333,PROD0017,Category 7,153.98,2021-06-25
CUST0310,PROD0046,Category 3,25.1,2024-12-06
CUST0199,PROD0021,Category 2,99.57,2020-05-02
CUST0131,PROD0050,Category 10,35.4,2021-10-22
CUST0349,PROD0017,Category 7,51.37,2021-03-28
CUST0430,PROD0018,Category 2,176.67,2020-01-06
CUST0424,PROD0010,Category 6,169.85,2024-10-22
CUST0475,PROD0002,Category 1,181.8,2020-09-18
CUST0253,PROD0035,Category 2,160.9,2022-02-14
CUST0189,PROD0022,Category 8,128.5,2024-10-14
CUST0478,PROD0011,Category 2,98.93,2022-07-11
CUST0457,PROD0008,Category 10,125.96,2022-02-19
CUST0096,PROD0025,Category 1,117.43,2023-04-15
CUST0171,PROD0039,Category 1,60.9,2023-01-18
CUST0194,PROD0012,Category 4,39.57,2021-03-14
CUST0361,PROD0047,Category 6,151.26,2024-04-10
CUST0359,PROD0001,Category 6,178.55,2021-03-08
CUST0293,PROD0024,Category 5,92.41,2024-10-09
CUST0306,PROD0032,Category 2,129.05,2020-08-01
CUST0255,PROD0010,Category 6,188.04,2024-03-27
CUST0016,PROD0025,Category 1,19.85,2021-10-31
CUST0056,PROD0021,Category 2,164.08,2024-06-04
CUST0279,PROD0040,Category 3,16.73,2022-02-12
CUST0015,PROD0047,Category 6,39.25,2023-07-27
CUST0228,PROD0008,Category 10,59.92,2024-03-11
CUST0362,PROD0041,Category 7,70.34,2024-12-19
CUST0326,PROD0040,Category 3,199.37,2023-03-23
CUST0248,PROD0006,Category 3,29.48,2023-08-12
CUST0126,PROD0011,Category 2,79.88,2024-12-11
CUST0281,PROD0020,Category 8,136.22,2024-01-29
CUST0295,PROD0045,Category 5,127.17,2022-04-09
CUST0309,PROD0036,Category 1,188.26,2020-08-25
CUST0218,PROD0008,Category 10,69.41,2020-08-05
CUST0315,PROD0022,Category 8,181.71,2023-02-09
CUST0054,PROD0009,Category 3,185.65,2020-04-07
CUST0139,PROD0017,Category 7,197.1,2024-06-03
CUST0431,PROD0027,Category 10,135.82,2024-09-02
CUST0286,PROD0026,Category 3,97.84,2023-08-04
CUST0213,PROD0021,Category 2,143.78,2022-03-31
CUST0455,PROD0039,Category 1,145.56,2022-09-19
CUST0036,PROD0010,Category 6,99.79,2024-07-17
CUST0157,PROD0037,Category 5,107.4,2020-12-31
CUST0211,PROD0036,Category 1,87.52,2023-09-18
CUST0021,PROD0008,Category 10,162.78,2020-02-07
CUST0079,PROD0025,Category 1,30.2,2023-07-19
CUST0280,PROD0013,Category 6,181.81,2020-04-03
CUST0148,PROD0018,Category 2,54.41,2023-08-10
CUST0231,PROD0040,Category 3,59.07,2020-07-10
CUST0369,PROD0019,Category 4,152.67,2021-05-22
CUST0246,PROD0025,Category 1,164.3,2024-07-26
CUST0368,PROD0042,Category 10,187.73,2024-10-22
CUST0025,PROD0024,Category 5,132.84,2024-08-29
CUST0165,PROD0032,Category 2,162.28,2020-11-11
CUST0332,PROD0007,Category 5,109.88,2021-01-28
CUST0122,PROD0018,Category 2,84.48,2024-11-07
CUST0286,PROD0044,Category 5,11.4,2023-03-13
CUST0307,PROD0041,Category 7,150.99,2021-05-11
CUST0315,PROD0011,Category 2,189.48,2022-02-12
CUST0477,PROD0014,Category 4,161.49,2024-07-27
CUST0176,PROD0042,Category 10,113.31,2021-05-11
CUST0239,PROD0025,Category 1,66.51,2023-10-16
CUST0091,PROD0050,Category 10,69.47,2021-05-30
CUST0428,PROD0033,Category 2,44.12,2020-09-20
CUST0124,PROD0035,Category 2,199.67,2021-02-18
CUST0448,PROD0047,Category 6,111.49,2022-10-19
CUST0403,PROD0017,Category 7,33.34,2020-06-28
CUST0479,PROD0021,Category 2,191.81,2022-05-28
CUST0427,PROD0017,Category 7,142.5,2024-02-23
CUST0342,PROD0018,Category 2,69.64,2021-04-05
CUST0325,PROD0033,Category 2,198.46,2022-08-29
CUST0249,PROD0031,Category 8,77.55,2023-01-20
CUST0347,PROD0023,Category 2,48.21,2024-10-29
CUST0182,PROD0041,Category 7,67.04,2021-12-13
CUST0279,PROD0042,Category 10,84.44,2021-07-31
CUST0317,PROD0001,Category 6,153.85,2020-09-15
CUST0471,PROD0023,Category 2,91.13,2021-08-02
CUST0216,PROD0006,Category 3,48.14,2024-03-03
CUST0269,PROD0001,Category 6,198.41,2022-05-20
CUST0067,PROD0008,Category 10,143.15,2021-12-29
CUST0278,PROD0003,Category 4,193.2,2023-02-03
CUST0208,PROD0002,Category 1,45.68,2022-11-12
CUST0347,PROD0022,Category 8,31.18,2022-06-30
CUST0211,PROD0005,Category 5,128.79,2021-01-31
CUST0446,PROD0024,Category 5,22.89,2020-05-21
CUST0102,PROD0024,Category 5,191.29,2020-06-04
CUST0040,PROD0034,Category 6,18.79,2020-08-28
CUST0412,PROD0039,Category 1,121.38,2023-05-28
CUST0135,PROD0038,Category 6,50.71,2021-07-28
CUST0059,PROD0036,Category 1,186.32,2023-06-02
CUST0425,PROD0006,Category 3,159.0,2022-12-14
CUST0245,PROD0036,Category 1,16.79,2023-05-22
CUST0036,PROD0035,Category 2,183.62,2024-06-12
CUST0256,PROD0028,Category 5,163.19,2023-02-23
CUST0430,PROD0020,Category 8,58.96,2022-12-09
CUST0040,PROD0003,Category 4,98.98,2023-06-29
CUST0382,PROD0005,Category 5,126.83,2023-05-02
CUST0284,PROD0005,Category 5,120.35,2023-09-03
CUST0411,PROD0017,Category 7,146.42,2023-06-14
CUST0215,PROD0021,Category 2,49.29,2021-01-10
CUST0014,PROD0024,Category 5,10.74,2024-04-08
CUST0290,PROD0038,Category 6,68.6,2024-02-26
CUST0136,PROD0015,Category 9,49.65,2024-03-14
CUST0346,PROD0035,Category 2,22.77,2020-09-07
CUST0197,PROD0033,Category 2,35.92,2024-05-15
CUST0102,PROD0033,Category 2,94.26,2023-11-25
CUST0021,PROD0038,Category 6,74.11,2023-05-29
CUST0302,PROD0005,Category 5,18.11,2022-01-28
CUST0362,PROD0022,Category 8,127.09,2023-07-19
CUST0195,PROD0038,Category 6,155.52,2024-11-19
CUST0217,PROD0020,Category 8,152.17,2024-12-21
CUST0315,PROD0008,Category 10,116.7,2023-03-05
CUST0228,PROD0042,Category 10,26.52,2024-01-29
CUST0455,PROD0031,Category 8,149.68,2024-01-23
CUST0442,PROD0029,Category 2,156.48,2021-03-20
CUST0003,PROD0044,Category 5,152.35,2021-11-02
CUST0213,PROD0048,Category 4,42.87,2022-12-31
CUST0248,PROD0026,Category 3,77.28,2024-08-06
CUST0232,PROD0023,Category 2,39.66,2024-02-28
CUST0021,PROD0035,Category 2,36.95,2022-06-13
CUST0388,PROD0009,Category 3,83.56,2020-05-14
CUST0157,PROD0050,Category 10,122.36,2022-11-16
CUST0417,PROD0005,Category 5,136.52,2021-03-24
CUST0002,PROD0042,Category 10,87.61,2024-08-22
CUST0388,PROD0034,Category 6,132.61,2021-06-14
